S,m_1,n_1,m_2,n_2,hat_p,W_1,W_2
"{(2, 2), (4, 1)}",2,2,4,1,5/7,6/7,1/7
"{(3, 1), (2, 3)}",3,1,2,3,4/7,4/35,31/35
"{(3, 1), (3, 2)}",3,1,3,2,5/7,2/7,5/7
"{(3, 1), (4, 1)}",3,1,4,1,6/7,4/7,3/7
"{(1, 1), (5, 3)}",1,1,5,3,5/8,5/8,3/8
"{(1, 1), (6, 2)}",1,1,6,2,3/4,3/4,1/4
"{(1, 1), (7, 1)}",1,1,7,1,7/8,7/8,1/8
"{(1, 2), (4, 3)}",1,2,4,3,1/2,11/14,3/14
"{(1, 2), (5, 2)}",1,2,5,2,5/8,25/28,3/28
"{(1, 2), (6, 1)}",1,2,6,1,3/4,27/28,1/28
"{(1, 3), (3, 3)}",1,3,3,3,3/8,23/28,5/28
"{(1, 3), (4, 2)}",1,3,4,2,1/2,13/14,1/14
"{(1, 3), (5, 1)}",1,3,5,1,5/8,55/56,1/56
"{(2, 1), (4, 3)}",2,1,4,3,5/8,5/14,9/14
"{(2, 1), (5, 2)}",2,1,5,2,3/4,15/28,13/28
"{(2, 1), (6, 1)}",2,1,6,1,7/8,3/4,1/4
"{(2, 2), (3, 3)}",2,2,3,3,1/2,1/2,1/2
"{(2, 2), (4, 2)}",2,2,4,2,5/8,5/7,2/7
"{(2, 2), (5, 1)}",2,2,5,1,3/4,25/28,3/28
"{(2, 3), (2, 3)}",2,3,2,3,3/8,1/2,1/2
"{(2, 3), (3, 2)}",2,3,3,2,1/2,53/70,17/70
"{(2, 3), (4, 1)}",2,3,4,1,5/8,13/14,1/14
"{(3, 1), (3, 3)}",3,1,3,3,5/8,5/28,23/28
"{(3, 1), (4, 2)}",3,1,4,2,3/4,5/14,9/14
"{(3, 1), (5, 1)}",3,1,5,1,7/8,5/8,3/8
"{(3, 2), (2, 3)}",3,2,2,3,1/2,17/70,53/70
"{(3, 2), (3, 2)}",3,2,3,2,5/8,1/2,1/2
"{(3, 2), (4, 1)}",3,2,4,1,3/4,11/14,3/14
